# AZIK/SKK タイピング練習例文
# 書式: 表示テキスト TAB 読み
#   {読み}         = 漢字・カタカナ語 → 先頭を大文字(Shift)で入力 (SKK変換開始)
#   {読み|送り仮名} = 送り仮名あり → 読みの頭と送り仮名の頭が両方 Shift
#
# AZIKストローク早見表:
#   っ=;  ん=q  ー=-
#   +ん suffix: z/n(あん) k(いん) j(うん) d(えん) l(おん)
#   +長音 suffix: q(あい) h(うう) w(えい) p(おう)
#   例: かん=kz, けい=kw, こう=kp, きん=kk, きょう=kyp
今日はいい天気ですね	{きょう}はいい{てんき}ですね
電車が遅れたせいで会議に遅刻した	{でんしゃ}が{おく|れ}たせいで{かいぎ}に{ちこく}した
会社を辞めて独立することにした	{かいしゃ}を{や|め}て{どくりつ}することにした
図書館で調べ物をしてから帰った	{としょかん}で{しら|べ}ものをしてから{かえ}った
今月は仕事が忙しくて休みが取れなかった	{こんげつ}は{しごと}が{いそが|し}くて{やす|み}が{と|れ}なかった
来年の四月から大学に通うことになった	{らいねん}の{しがつ}から{だいがく}に{かよ}うことになった
外国語を学ぶには毎日練習することが大切だ	{がいこくご}を{まな|ぶ}には{まいにち}{れんしゅう}することが{たいせつ}だ
この問題を解くのはとても難しい	この{もんだい}を{と|く}のはとても{むずか|し}い
締め切りまでに報告書を仕上げた	{し|め}{き|り}までに{ほうこくしょ}を{しあ|げ}た
体の調子が悪いので病院に行くことにした	{からだ}の{ちょうし}が{わる|い}ので{びょういん}に{い}くことにした
思ったより早く仕事が終わった	{おも}ったより{はや}く{しごと}が{お}わった
# --- 旅行・外出 ---
旅行の計画を立てるのが楽しい	{りょこう}の{けいかく}を{た|て}るのが{たの|し}い
最寄り駅から会社まで歩いて十五分かかる	{もよりえき}から{かいしゃ}まで{ある|い}て{じゅうごふん}かかる
台風が来る前に雨戸を閉めた	{たいふう}が{く}るまえに{あまど}を{し|め}た
先週末に久しぶりに実家に帰った	{せんしゅうまつ}に{ひさ}しぶりに{じっか}に{かえ}った
空港のロビーで友人を出迎えた	{くうこう}の[ろびー]で{ゆうじん}を{でむか|え}た
地図を見ながら目的地まで歩いた	{ちず}を{み}ながら{もくてきち}まで{ある|い}た
駐車場が満車で入れなかった	{ちゅうしゃじょう}が{まんしゃ}で{はい}れなかった
散歩をしながら近所の様子を見て回った	{さんぽ}をしながら{きんじょ}の{ようす}を{み}て{まわ}った
# --- 自然・季節 ---
秋になると木の葉が赤く染まる	{あき}になると{き}の{は}が{あか}く{そ|ま}る
日が沈む前に写真を撮っておいた	{ひ}が{しず|む}まえに{しゃしん}を{と}っておいた
去年より今年の方が暑い夏だった	{きょねん}より{ことし}の{ほう}が{あつ|い}{なつ}だった
庭に植えたトマトが大きく育った	{にわ}に{う|え}た[とまと]が{おお|き}く{そだ}った
雨が上がったら虹がきれいに出ていた	{あめ}が{あ|が}ったら{にじ}がきれいに{で}ていた
急に雨が降り出したので慌てた	{きゅう}に{あめ}が{ふ|り}{だ|し}たので{あわ}てた
桜が満開の公園をのんびり歩いた	{さくら}が{まんかい}の{こうえん}をのんびり{ある|い}た
窓を開けると涼しい風が入ってきた	{まど}を{あ|け}ると{すず|し}い{かぜ}が{はい}ってきた
# --- 趣味・人間関係 ---
子供の頃から水泳が得意だった	{こども}の{ころ}から{すいえい}が{とくい}だった
週に三回ジムに通っています	{しゅう}に{さんかい}[じむ]に{かよ}っています
映画のチケットを二枚予約した	{えいが}のちけっとを{にまい}{よやく}した
この本は読めば読むほど面白くなる	この{ほん}は{よ|め}ば{よ|む}ほど{おもしろ}くなる
今日は一日中家で本を読んでいた	{きょう}は{いちにちじゅう}{いえ}で{ほん}を{よ|ん}でいた
友人からプレゼントをもらってとても嬉しかった	{ゆうじん}からぷれぜんとをもらってとても{うれ|し}かった
毎朝六時に起きてジョギングをしている	{まいあさ}{ろくじ}に{お|き}て[じょぎんぐ]をしている
新しいパソコンを買おうか迷っている	{あたら|し}い[ぱそこん]を{か}おうか{まよ}っている
彼はいつも約束の時間より早く来る	{かれ}はいつも{やくそく}の{じかん}より{はや|く}{く}る
父はいつも仕事から遅く帰ってくる	{ちち}はいつも{しごと}から{おそ}く{かえ}ってくる
弟が大学の入学試験に合格したと聞いた	{おとうと}が{だいがく}の{にゅうがくしけん}に{ごうかく}したと{き|い}た
最近なかなか眠れない夜が続いている	{さいきん}なかなか{ねむ|れ}ない{よる}が{つづ|い}ている
久しぶりに会った友人と話が弾んだ	{ひさ}しぶりに{あ|っ}た{ゆうじん}と{はなし}が{はず|ん}だ
子供たちが元気いっぱい外で遊んでいる	{こども}たちが{げんき}いっぱい{そと}で{あそ}んでいる
長い間使っていた自転車がついに壊れた	{なが|い}{あいだ}{つか}っていた{じてんしゃ}がついに{こわ|れ}た
日本の伝統文化について本で調べている	{にほん}の{でんとうぶんか}について{ほん}で{しら|べ}ている
星空を眺めながらキャンプファイアを囲んだ	{ほしぞら}を{なが|め}ながら[きゃんぷふぁいあ]を{かこ|ん}だ
手紙を書くのは久しぶりでとても新鮮だった	{てがみ}を{か|く}のは{ひさ}しぶりでとても{しんせん}だった
